,Date,Text,Location,Person,Organization,siren
29,27/02/2024,"21:15Chief of the General Staff at the northern border: ""On the evening of October 7, Hezbollah decided to join in, and for that, it must pay a heavy price.""",[],[],['Hezbollah'],0
30,27/02/2024,Attached here are the full remarks. ,[],[],[],0
31,27/02/2024,"15:32, 15:34, 16:50Sirens sounded in northern Israel. ",['northern Israel'],[],[],1
32,27/02/2024,"13:01Over the last week, the soldiers of the 932nd Battalion Combat Team have been operating against Hamas in the Zeitoun area in the northern Gaza Strip. During one encounter with terrorists, SSGT Avraham Wovagen z”l, fell in battle. Following this encounter, several terrorist cells suspected of shooting at the soldier were eliminated using an aircraft operated by the brigade.","['Zeitoun area', 'northern', 'Gaza Strip']",['Avraham Wovagen'],"['932nd Battalion Combat Team', 'Hamas']",0
33,27/02/2024,"Later that day, the soldiers carried out a targeted raid on a structure used to fire at the forces. The soldiers located weapons used by Hamas, including a short-range anti-tank missile, pistols, sniper weapons and ammunition. ",[],[],['Hamas'],0
34,27/02/2024,"A terrorist's camera was located at the scene, with footage exposing Hamas’ method of firing the anti-tank missiles from built-up areas and inside buildings, as well as how the enemy operates in the area.",[],[],['Hamas'],0
35,27/02/2024,"11:48This morning (Tuesday), approximately 35 launches were identified crossing from Lebanon into the area of Mount Meron in northern Israel. There were no injuries or damage to the IDF Aerial Control Unit in the area.","['Lebanon', 'Mount Meron', 'northern Israel']",[],['IDF Aerial Control Unit'],0
36,27/02/2024,"In response, IDF fighter jets struck a military site and Hezbollah terrorist infrastructure in the areas of Hanniyeh, Jibchit, Baisariyeh, and Mansouri. IDF artillery also struck in the area of Yaroun in order to remove a threat. ","['Hanniyeh', 'Jibchit', 'Baisariyeh', 'Mansouri', 'Yaroun']",[],"['IDF', 'Hezbollah', 'IDF']",0
37,27/02/2024,"09:36As operations continue throughout Gaza, IDF troops located a weapons manufacturing facility, rocket launchers, and systems used by Hamas in combat, apprehended a number of terrorists who tried to flee under the cover of the civilian population and struck an operational center from which a number of launches were carried out-24hr operational update. ",['Gaza'],[],"['IDF', 'Hamas']",0
38,27/02/2024,07:49Sirens sounded in northern Israel.,['northern Israel'],[],[],1
39,26/02/2024,"22:13Sirens sounded in Margaliot, northern Israel.","['Margaliot', 'northern Israel']",[],[],1
40,26/02/2024,"19:59A short while ago, IDF fighter jets struck a launch site in the area of Kawkaba from which dozens of launches were carried out toward the Golan Heights approximately an hour ago. ","['Kawkaba', 'Golan Heights']",[],['IDF'],0
41,26/02/2024,"Over the past hours, IDF fighter jets struck Hezbollah military compounds in the area of Ayta ash Shab in southern Lebanon. ","['Ayta ash Shab', 'southern Lebanon']",[],"['IDF', 'Hezbollah']",0
42,26/02/2024,"Earlier today, an IDF tank struck an additional Hezbollah military compound in Kfarkela.",['Kfarkela'],[],"['IDF', 'Hezbollah']",0
43,26/02/2024,"18:36An IDF aircraft targeted and eliminated Hassan Hossein Salami, the Hezbollah terrorist responsible for the Hajir region, in a strike in southern Lebanon. ","['Hajir region', 'southern Lebanon']",['Hassan Hossein Salami'],"['IDF', 'Hezbollah']",0
44,26/02/2024,"Salami was part of Hezbollah’s Nasser Unit and commanded recent terrorist activities by Hezbollah against Israeli civilians and soldiers, including anti-tank missile launches toward Kiryat Shmona and the headquarters of the 769th Brigade.",['Kiryat Shmona'],"['Salami', 'Nasser Unit']","['Hezbollah', 'Hezbollah', '769th Brigade']",0
45,26/02/2024,17:06A 10 Kilometer-Long Terror Tunnel Passing Underneath a Hospital and a University: IDF Troops Located an Underground Tunnel Network Connecting the North and South of Gaza. Read more here. ,"['North', 'South of', 'Gaza']",[],['IDF T'],0
46,26/02/2024,16:01Sirens sounded in northern Israel.,['northern Israel'],[],[],1
47,26/02/2024,"13:20A short while ago, IDF fighter jets struck sites used by Hezbollah’s Aerial Defense Array in the Beqaa Valley in Lebanon.","['Beqaa Valley', 'Lebanon']",[],"['IDF', 'Hezbollahl Defense Array']",0
48,26/02/2024,The strikes are in response to the launch of a surface-to-air missile at an IDF Hermes-450 UAV which fell earlier today (Monday).,[],[],[],0
49,26/02/2024,"12:01, 12:02Sirens sounded in northern Israel.",['northern Israel'],[],[],1
50,26/02/2024,"10:31This morning (Monday), the 'David’s Sling' Aerial Defense System intercepted a surface-to-air missile that was fired toward an Israeli Air Force UAV operating in Lebanon. Following the launch of the interceptor, sirens were sounded in the area of Alon Tavor in northern Israel. No injuries were reported.","['Lebanon', 'Alon Tavor', 'northern Israel']",[],"[""'"", ""David ’ s Sling ' Aerial Defense System""]",1
51,26/02/2024,"A short while after, an additional missile launch toward the UAV was identified and the UAV fell inside Lebanese territory.   ",['Lebanese'],[],[],0
52,26/02/2024,"10:01Sirens sounded in Kibbutz Kissufim, a community near Gaza.","['Kibbutz Kissufim', 'Gaza']",[],[],1
53,26/02/2024,"09:04Sirens sounded in Kibbutz Re'im, southern Israel.","[""Kibbutz Re ' im"", 'southern Israel']",[],[],1
54,26/02/2024,08:47IDF troops eliminated over 30 terrorists as operations continue in Zaytun and troops continue to intensify their activities in the area of Khan Yunis-24hr operational update.,"['Zaytun', 'Khan Yunis - 24hr']",[],[],0
55,26/02/2024,"05:56, 08:45 Sirens sounded in northern Israel.",['northern Israel'],[],[],1
56,25/02/2024,"17:41Earlier today, the IDF Aerial Defense Array intercepted a suspicious aerial target that crossed from Lebanon into the Upper Galilee in northern Israel.","['Lebanon', 'Upper Galilee', 'northern Israel']",[],['IDF Aerial Defense Array'],0
57,25/02/2024,"Over the past hours, launches were identified from Lebanon toward the areas of Margaliot, Har Dov, Kiryat Shemona, Manara, and Malkia in northern Israel. The IDF struck the sources of the fire. ","['Lebanon', 'Margaliot', 'Har Dov', 'Kiryat Shemona', 'Manara', 'Malkia Israel']",[],['IDF'],0
58,25/02/2024,An aircraft identified a terrorist cell exiting a Hezbollah military compound in the area of Blida. IDF fighter jets struck the terrorist cell and two additional military compounds in the area.,['Blida'],[],"['Hezbollah', 'IDF']",0
59,25/02/2024,"13:31, 15:36, 16:22, 16:42Sirens sounded in northern Israel.",['northern Israel'],[],[],1
60,25/02/2024,"13:04IDF Troops apprehended approximately 200 terrorists and coordinated the aid of hundreds of portions of food, water and medical equipment as operations conclude in Nasser Hospital. ",['Nasser Hospital'],[],['13 : 04IDF'],0
61,25/02/2024,"12:24, 12:32Sirens sounded in northern Israel.",['northern Israel'],[],[],1
62,25/02/2024,11:58Rocket launcher found in a medical laboratory; Givati Brigade combat team intensify operations in the Abasan area in eastern Khan Yunis. Read more here.,"['Abasan area', 'Khan Yunis']",[],['Givati Brigade'],0
63,25/02/2024,10:21Sirens sounded in northern Israel.,['northern Israel'],[],[],1
64,25/02/2024,08:43 Terrorists who attempted to hide behind evacuating civilians were identified and apprehended by IDF troops; IDF activity continues in western Khan Yunis-24hr operational update. ,['western Khan Yunis - 24hr'],[],"['IDF', 'IDF']",0
65,24/02/2024,"21:00, 23:31Sirens sounded in northern Israel.",['northern Israel'],[],[],1
66,24/02/2024,"Earlier today, an IDF aircraft identified a terrorist cell entering a Hezbollah weapons storage facility in the area of Matmoura. A short while after, IDF fighter jets struck the weapons storage facility where the terrorists were located. Following the strike, secondary explosions occurred, indicating that large quantities of weapons were stored there. ",['Matmoura'],[],"['IDF', 'Hezbollah', 'IDF']",0
67,24/02/2024,"A short while ago, IDF fighter jets struck an operational command center used by Hezbollah’s Radwan forces in the area of Baraachit, as well as launch posts and terrorist infrastructure in the area of Jabal Blat in southern Lebanon. Furthermore, IDF artillery struck to remove a threat in the area of Rachaya Al Foukhar.  ","['Baraachit', 'Jabal Blat', 'southern Lebanon', 'Rachaya Al Foukhar']",[],"['IDF', 'Hezbollahwan', 'IDF']",0
68,24/02/2024,"20:07Today (Saturday), the Chief of the General Staff, LTG Herzi Halevi, conducted a situational assessment in the northern Gaza Strip with the Commanding Officer of the Southern Command, MG Yaron Finkelman, the Commanding Officer of the 162nd Division, BG Itzik Cohen, and additional commanders. Read the full statement here. ",['northern Gaza Strip'],"['Yaron Finkelman', 'Itzik Cohen']","['Southern Command', '162nd Division']",0
69,24/02/2024,"17:09Over the past few hours, IDF fighter jets struck additional Hezbollah military compounds in the areas of Rab El Thalathine, Ayta ash Shab, and Blida. Furthermore, IDF artillery struck to remove a threat in a number of locations in southern Lebanon.","['Rab El Thalathine', 'Ayta ash Shab', 'Blida', 'southern Lebanon']",[],"['IDF', 'Hezbollah', 'IDF']",0
70,24/02/2024,"16:43Sirens sounded in Kiryat Shemona, northern Israel.","['Kiryat Shemona', 'northern Israel']",[],[],1
71,24/02/2024,16:03Soldiers from the Paratroopers Brigade Combat Team uncovered a weapons storage facility in Khan Yunis.,['Khan Yunis'],[],['Paratroopers Brigade Combat Team'],0
72,24/02/2024,"The storage facility contained large quantities of ammunition, cartridges, explosives, grenades and mines that the terrorists planned to plant in the area to harm IDF soldiers. In addition, rockets and combat equipment, helmets, vests and means of communication were found in the storage facility.",[],[],['IDF'],0
73,24/02/2024,13:30Sirens sounded in Kibbutz Nahal Oz in southern Israel.,"['Kibbutz Nahal Oz', 'southern Israel']",[],[],1
74,24/02/2024,"13:17, 13:19Sirens sounded in northern Israel.",['northern Israel'],[],[],1
75,24/02/2024,"13:047th Brigade soldiers operating in western Khan Yunis located mortar bombs and cartridges inside UNRWA bags. In addition, AK-47s, bullets, grenades, explosives, drones, RPG launchers and means of communication were located and confiscated.Read more10:24, 12:51Sirens sounded in northern Israel.10:05Overnight, IDF fighter jets struck Hezbollah launch posts, terror infrastructure and an observation post. Furthermore, IDF artillery struck in order to remove threats in southern Lebanon.09:30Intensive activities continue in Khan Yunis and Zeitoun, numerous terrorists eliminated and terrorist cell preparing to launch rockets struck by aircraft - 24hr operational update09:00Sirens sounded in Adamit, northern Israel.","['western Khan Yunis', 'northern Israel', 'southern Lebanon', 'Khan Yunis', 'Zeitoun', 'Adamit', 'northern Israel']",[],"['UNRWA', 'IDF', 'Hezbollah', 'IDF']",1
76,23/02/2024,"16:42A short while ago, fighter jets struck a number of Hezbollah terrorist infrastructure and a military structure in which Hezbollah terrorists were operating. Furthermore, IDF tank fire struck in order to remove an imminent threat in the area of Ayta ash Shab.15:02Soldiers of the Maglan Commando Unit operate and locate weapons in western Khan Yunis:12:03Readiness in the northern arena: the Israeli Navy's Missile Ship Flotilla completed a wide-scale exercise this weekRead more08:20A terrorist cell carrying an explosive device and which fired with an RPG at IDF troops was eliminated; IDF soldiers located dozens of rockets and explosive devices - 24hr operational update06:53Last night (Thursday), in a joint IDF and ISA activity, an IDF UAV eliminated Yasser Hanoun, a resident of Jenin and an Islamic Jihad terrorist. Yasser had been involved in several shooting attacks targeting Israeli communities including Meirav and Mevo Dotan, as well as shooting attacks at IDF soldiers and military posts. The terrorist was eliminated while en route to carry out another shooting attack.","['Ayta ash Shab', 'western Khan Yunis', 'Jenin', 'Meirav']","['Yasser Hanoun', 'Yasser', 'Mevo Dotan']","['Hezbollah', 'Hezbollah', 'IDF', 'Maglan Commando Unit', ""Israeli Navy ' s Missile Ship Flotilla"", 'IDF', 'IDF', 'IDF', 'ISA', 'IDF', 'Islamic Jihad', 'IDF']",0
77,22/02/2024,"21:05In the early hours of the morning (Thursday), the ""Arrow"" Aerial Defense System detected a long-range ballistic target that was launched from south-east towards the airspace of the State of Israel.The systems followed the trajectory of the missile, and the soldiers of the ""Arrow"" Unit of the Aerial Defense Array intercepted it outside the borders of the State of Israel20:49Over the past few hours, numerous launches were identified crossing into northern Israel. IDF soldiers struck the sources of the fire. IDF fighter jets struck a compound where terrorists were identified. In addition, during the day, IDF artillery fired in order to remove a threat in a number of areas in southern Lebanon.18:17Sirens sounded in Kibbutz Mefalsim, a community near Gaza.13:38Over the past few hours, numerous launches were identified crossing from Lebanon into northern Israel. The IDF struck the sources of the fire. A short while ago, IDF fighter jets struck a Hezbollah military compound in the area of Maroun El Ras and terrorist infrastructure in Kfarkela and Khiam. Furthermore, an IDF tank fired in order to remove a threat in southern Lebanon.09:07IDF troops continue to expand offensive in the Zaytun area in northern Gaza and operate in the area of Khan Yunis. Overnight, Israeli Naval Forces targeted and destroyed a number of vessels used by the Hamas and Islamic Jihad terrorist organizations in southern Gaza. - 24hr operational update 06:30Following the report regarding sirens that sounded in the city of Eilat, the ""Arrow"" Aerial Defense System successfully intercepted a launch which was identified in the area of the Red Sea and was en route to Israel.The target did not cross into Israeli territory and did not pose a threat to civilians. The sirens were sounded according to policy.","['south - east', 'State', 'Israel', 'Israel', 'northern Israel', 'southern Lebanon', 'Kibbutz Mefalsim', 'Gaza', 'Lebanon', 'northern Israel', 'Maroun El Ras', 'Kfarkela', 'Khiam', 'southern Lebanon', 'Zaytun area', 'northern Gaza', 'Khan Yunis', 'southern Gaza', 'Eilat', 'the', 'Red Sea', 'Israel', 'Israeli']",[],"['IDF', 'IDF', 'IDF', 'IDF', 'IDF', 'Hezbollah', 'IDF', '##IDF', 'Israeli Naval Forces', 'Hamas', 'Islamic Jihad']",1
78,21/02/2024,"21:04Over the past few hours, IDF fighter jets struck Hezbollah terror targets in Lebanon, including a number of terrorist infrastructure, an observation post in the area of Khiam, and a military post in the area of Zibqin from which launches toward  northern Israel were carried out earlier today.Earlier today (Wednesday), an IDF helicopter struck an observation post in which terrorists were operating in the area of Ramyeh. Additionally, IDF artillery struck in the area of Aitaroun in order to remove an immediate threat. 19:18Earlier today (Wednesday), a number of mortar shell launches were identified from the Gaza Strip toward Israeli territory. The launches fell in an open area and no injuries were reported. A number of minutes after, IDF troops identified the launch point in the area of Jabalia in the northern Gaza Strip. An aircraft eliminated the terrorist and struck the launcher from which the mortar shells were fired.17:19Sirens sounded in northern Israel17:16Operations of the Yahalom Special Forces Unit: Recently, the discovery of a number of strategic tunnels in Khan Yunis, used by senior Hamas officials was released for publication. Now, the IDF is revealing another tunnel route that served the senior officials and has been destroyed.Read more13:58, 16:50, 17:15Sirens sounded northern Israel.13:26Yesterday (Tuesday), IDF soldiers identified a number of terrorists entering a military compound in southern Lebanon. IDF fighter jets were dispatched to the scene and struck the compound, while the terrorists were located inside. A short while ago, IDF fighter jets struck three Hezbollah operational command centers in southern Lebanon.Furthermore, this morning, IDF artillery struck in order to remove a threat in southern Lebanon.13:03""Significant challenges and prolonged fighting await us - in the north, in the center and in the south. This is a war for our home. It is our determination and professionalism in every arena and in the face of every enemy that will make it clear to those who wish us ill the price involved in an attack on the State of Israel.""Attached is the Chief of the General Staff's Letter to the Commanders of the IDF: https://www.idf.il/18170108:30IDF troops conducted a targeted operation in the Zaytun area in northern Gaza eliminating terrorists and locating numerous weapons. Simultaneously, IDF troops intensified activities in Khan Yunis - 24h operational update","['Lebanon', 'Khiam', 'Zibqin', 'northern Israel', 'Ramyeh', 'Aitaroun', 'Gaza Strip', 'Israeli', 'Jabalia', 'northern Gaza Strip', 'northern Israel', 'Khan Yunis', 'northern Israel', 'southern Lebanon', 'southern Lebanon', 'southern Lebanon', 'Israel']",[],"['IDF', 'Hezbollah', 'IDF', 'IDF', 'IDF', 'Yahalom Special Forces Unit', 'Hamas', 'IDF', 'IDF', 'IDF', 'IDF', 'Hezbollah', 'IDF', 'IDF', '##ID']",1
79,20/02/2024,"19:02Weapons in a UN school compound: During an operation last week, the Paratroopers Brigade located large quantities of weapons inside a building adjacent to a UN school in Khan Yunis. The school had been used as a humanitarian shelter for Gazan residents.Read more 17:13Throughout the day, launches toward the areas of communities in northern Israel were identified. No injuries were reported.IDF fighter jets struck terrorist infrastructure in the area of Blida and a number of military structures used by the Hezbollah terrorist organization in southern Lebanon.A short while ago, an additional military structure was struck in the area of Kfarkela in which Hezbollah terrorists were identified. 12:18Throughout the morning, IDF fighter jets struck a number of Hezbollah terror targets in Lebanon, including two launch posts, additional terrorist infrastructure and two military structures.12:07Commanding Officer of the 646th Brigade, COL Elad Shushan: ""Dear soldiers, I am proud of you for the strength of spirit and resilience you have shown. I am sure that this is what our fallen would expect from us. We will continue with all our might. The mission is not yet complete, and I have no doubt that the brigade will stand ready whenever and wherever required.""Read more regarding the recent operations of the 646th Reserve Brigade 10:59Sirens sounded in Arab al-Aramshe, northern Israel.08:30IDF troops continue to operate in northern, central, and southern Gaza against the Hamas terrorist organization and eliminated a terrorist cell that attempted to attack the troops - 24h operational update ","['Khan Yunis', 'Gaza', 'northern Israel', 'Blida', 'southern Lebanon', 'Kfarkela', 'Lebanon', 'Arab al - Aramshe', 'northern Israel', 'northern', 'central', 'southern Gaza']",['Elad Shushan'],"['UN', 'Paratroopers Brigade', 'UN', 'IDF', 'Hezbollah', 'Hezbollah', 'IDF', 'Hezbollah', '646th Brigade', '646th Reserve Brigade', 'Hamas']",1
80,19/02/2024,"21:25Earlier today, IDF soldiers identified a number of terrorists in a Hezbollah military infrastructure in the area of Marwahin in southern Lebanon. IDF fighter jets were scrambled and struck the military infrastructure while terrorists operated there.20:06A short while ago, terrorists hurled an explosive device at an Israeli vehicle adjacent to the town of Burka. Security forces were dispatched to the scene and provided initial medical treatment to an Israeli civilian who was injured.The forces are searching the area for suspects.","['Marwahin', 'southern Lebanon', 'Burka']",[],"['IDF', 'Hezbollah', 'IDF']",0
81,19/02/2024,18:43IDF fighter jets struck two Hezbollah weapons storage facilities adjacent to the city of Sidon in Lebanon. ,"['city of Sidon', 'Lebanon']",[],"['##IDF', 'Hezbollah']",0
82,19/02/2024,The strike was carried out in response to the launch of a UAV toward the Lower Galilee in northern Israel. An examination of the incident suggests that the UAV was most likely launched from Lebanon by the Hezbollah terrorist organization earlier. The incident is under review. ,"['the', 'Lower Galilee', 'northern Israel', 'Lebanon']",[],['Hezbollah terrorist organization'],0
83,19/02/2024,"Furthermore, IDF fighter jets struck Hezbollah terrorist infrastructure in the areas of Meiss El Jabal and al-Adisa in Lebanon.","['Meiss El Jabal', 'al - Adisa', 'Lebanon']",[],"['IDF', 'Hezbollah']",0
84,19/02/2024,18:35Sirens sounded in northern Israel.,['northern Israel'],[],[],1
85,19/02/2024,"18:18WATCH: footage of the Bibas family, abducted by Hamas on Oct. 7, being transported by terrorists in Eastern Khan YunisMore details15:03Sirens sounded in Zar'it, northern Israel.","['Eastern Khan YunisMore', ""Zar ' it"", 'northern Israel']",['Bibas'],['Hamas'],1
86,19/02/2024,13:54IDF fighter jets struck Hezbollah terrorist infrastructure in the area of Dhayra in southern Lebanon. ,"['D', '##hayra', 'southern Lebanon']",[],"['54', '##IDF', 'Hezbollah']",0
87,19/02/2024,"Furthermore, over the past day, a Hezbollah launch post was struck in the area of Aitaroun and terrorist infrastructure was struck in the area of al-Adisa, as well as additional areas in Lebanon.10:25Sirens sounded in northern Israel.","['Aitaroun', 'al - Adisa', 'Lebanon', 'northern Israel']",[],['Hezbollah'],1
88,19/02/2024,09:32IDF troops continue operational activity in Gaza; The terrorist who fired a rocket toward Kibbutz Be'eri yesterday was identified and eliminated a few minutes after carrying out the attack- 24h operational update,"['Gaza', ""Kibbutz Be ' eri""]",[],['##IDF'],0
89,18/02/2024,"08:46IDF troops are continuing to operate in Khan Yunis, central and northern Gaza; Over the past day, dozens of terrorists were eliminated and large quantities of weapons were seized - 24h operational update ","['Khan Yunis', 'central', 'northern Gaza']",[],['##IDF'],0
90,17/02/2024,"19:51A short while ago, IDF fighter jets completed a series of strikes against the Hamas terrorist organization in the areas of Nuseirat and Deir al Balah. Based on intelligence, a series of operational command and control centers in which Hamas terrorists were operating were struck.19:39Earlier today, IDF fighter jets struck Hezbollah terrorist infrastructure and a launch post in the area of Jabal Blat in southern Lebanon. In addition, IDF artillery fired toward the area of Wadi Hamul in order to remove a threat.13:20This morning, a launch toward the City of Ashkelon, southern Israel, was successfully intercepted by the IDF Aerial Defense Array. IDF troops identified the terrorist responsible for carrying out the launch in the area of Al-Furqan in the northern Gaza Strip. In response, IAF aircraft struck and eliminated the terrorist.10:08Sirens sounded in the city of Ashkelon and Mavki'im, southern Israel.09:34Yesterday (Friday), IDF fighter jets struck Hezbollah terrorist infrastructure in the area of Jabal Blat, a terrorist was eliminated at the scene. In addition, a military compound was struck in the area of Bint Jbeil. Over the past day, IDF artillery struck in a number of areas in southern Lebanon.Overnight, in response to launches from Syria toward the southern Golan Heights which didn’t cross into Israeli territory, IDF artillery struck the area of the fire, and fighter jets struck a weapons storage facility of the Syrian army in the area of Mhajjah.09:06Soldiers continue to operate in the area of Khan Yunis and apprehended 100 individuals suspected of terrorist activity in the Nasser Hospital so far, in parallel to additional IDF activity in the central GazaRead more","['Nuseirat', 'Deir al Balah', 'Jabal Blat', 'southern Lebanon', 'Wadi Hamul', 'City of Ashkelon', 'southern Israel', 'Al - Furqan', 'northern Gaza Strip', 'city of Ashkelon', ""Mavki ' im"", 'southern Israel', 'Jabal Blat', 'Bint Jbeil', 'southern Lebanon', 'Syria', 'the', 'southern Golan Heights', 'Israeli', 'Mhajjah', 'Khan Yunis']",[],"['IDF', 'Hamas', 'Hamas', 'IDF', 'Hezbollah', 'IDF', 'IDF Aerial Defense Array', 'IDF', 'IAF', 'IDF', 'Hezbollah', 'IDF', 'IDF', 'Syrian', 'Nasser Hospital']",1
